id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
31567232,Cosy & Big Room Centrally Located,2740608,Vincent,,Whring,48.21963,16.34258,Private room,36,3,13,2024-09-14,0.41,9,249,4,
31567812,Cosy Room Centrally Located with Great Shopping,2740608,Vincent,,Whring,48.21913,16.34047,Private room,27,4,15,2024-08-01,0.21,9,304,1,
31568172,Small Room,2740608,Vincent,,Whring,48.22097,16.34197,Private room,35,7,3,2021-05-26,0.04,9,308,0,
31581645,"CENTRAL CITY STUDIO /W TERRACE, GARDEN & AIR CON",2032537,Niko,,Leopoldstadt,48.22372,16.40422,Entire home/apt,,30,27,2025-02-16,0.66,7,8,3,
31585983,"Wien,gemütliches,charmantes Zuhause",236767865,Andrea,,Favoriten,48.17419,16.36364,Entire home/apt,,4,31,2020-01-04,0.42,1,0,0,
31604348,SMARTments - Temporary living in Vienna,152433712,SMARTments,,Favoriten,48.18331,16.3771,Entire home/apt,127,1,2,2022-11-27,0.05,28,363,0,
31605292,SMARTments - Temporary living in Vienna,152433712,SMARTments,,Favoriten,48.18333,16.37715,Entire home/apt,123,7,2,2020-01-03,0.03,28,363,0,
31605802,Apartment with free parking on premises,236933676,Yitschak Yaakov,,Donaustadt,48.23373,16.41257,Entire home/apt,109,3,133,2024-11-27,1.82,1,163,23,
31609405,CENTRAL APARTMENT WITH AN AMAZING VIEW,15111693,Betuel,,Neubau,48.20397,16.34295,Private room,,1,1,2019-03-01,0.01,1,0,0,
31611123,Cozy studio near city center,158090641,Lisa,,Whring,48.22388,16.33885,Entire home/apt,,2,5,2019-04-26,0.07,1,0,0,
31617725,Lovely apartment at Danube Canel and Downtown,184084037,Ekaterina,,Alsergrund,48.22262,16.36499,Entire home/apt,,2,102,2021-10-24,1.38,3,0,0,
31708786,"Central, city view balcony, ""Studio Stubenbastei""",6132593,Salvatore,,Innere Stadt,48.2073843,16.3790649,Entire home/apt,160,2,14,2024-04-24,0.20,3,76,1,
31711220,"Sehr hell, ruhig und nahe Zentrum",49817195,Michael,,Margareten,48.18503,16.35986,Entire home/apt,71,29,46,2025-02-27,0.63,2,0,6,
31715255,Cozy and charming room in beautiful Vienna,237894564,Agnes,,Simmering,48.17465,16.4146,Private room,,30,4,2019-07-01,0.05,1,0,0,
31798722,City Loft. Terrasse. Ausblick.,228867750,Estrella,,Josefstadt,48.215,16.34727,Entire home/apt,95,29,94,2025-01-03,1.46,3,25,15,
31816225,Stylish mid-century Altbau near 1st district,243896291,Dönci,,Landstra§e,48.19924,16.39684,Entire home/apt,,3,47,2025-01-03,0.64,1,0,8,
31818348,Studio Belle-Époque,92755511,Kinka,,Margareten,48.18297,16.35922,Entire home/apt,47,2,361,2025-03-07,4.86,3,173,76,
31824098,Beste Innenstadtlage mit Aussicht . Barrierefrei,238499364,Alexandra,,Innere Stadt,48.21255,16.37529,Entire home/apt,,360,42,2020-02-23,0.57,2,358,0,
31841720,Augarten - Chalets- Zentrum,153791533,Maria,,Leopoldstadt,48.22316,16.37409,Entire home/apt,80,3,198,2025-02-21,2.72,3,1,29,
31851580,"Douplex apartment next ""Schloss Schönbrunn""",13394586,Tina,,Rudolfsheim-Fnfhaus,48.18599,16.33119,Entire home/apt,479,4,4,2024-08-12,0.06,3,1,1,
31856621,"#10 Charmantes Studio, zentral",9719601,Christiana,,Neubau,48.20111,16.34515,Entire home/apt,80,2,311,2025-02-28,4.20,15,2,74,
31872971,Apartment Davidgasse Twin,2816192,Martin,,Favoriten,48.17523,16.36298,Entire home/apt,45,2,40,2025-02-15,0.55,100,215,12,
